id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
507196,SZ399393,国证地产,3,0.0,0.8464,0.0,0.1908,0.0,0.0119,1777305600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777372323987,1777372323987,True,5,0.8092,1.0,04-28,
507221,SZ399812,养老产业,3,11.8282,1.8166,0.002,0.0436,0.1536,0.0245,1777305600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390321331,1777390321331,False,5,0.9564,0.998,04-28,0.966
507168,SZ399975,证券公司,3,15.2075,1.2774,0.0692,0.1536,0.084,0.0177,1777305600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777372321504,1777372321504,True,5,0.8464,0.9308,04-28,0.529
507189,CSIH30533,中概互联50,3,16.7841,2.2866,0.0248,0.0464,0.1362,0.0107,1777305600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777372323390,1777372323390,False,5,0.9536,0.9752,04-28,
507148,CSIH11136,中国互联,3,17.0533,2.3019,0.076,0.0504,0.135,0.0112,1777219200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1452528000000,1777339920915,1777339920915,False,5,0.9496,0.924,04-27,
507165,SZ399997,中证白酒,3,18.6232,4.3025,0.0656,0.048,0.231,0.0406,1777305600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777372321187,1777372321187,False,5,0.952,0.9344,04-28,
507204,CSIH30094,消费红利,2,18.894,3.7946,0.0584,0.062,0.2008,0.0412,1777305600000,low,0,,0.05,1452528000000,1777372324668,1777372324668,False,5,0.938,0.9416,04-28,
507220,SZ399396,国证食品,3,20.7516,3.8005,0.0792,0.02,0.1831,0.0373,1777305600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390321224,1777390321224,False,5,0.98,0.9208,04-28,
507181,SH000932,主要消费,3,21.0172,3.6458,0.1312,0.056,0.1735,0.0367,1777305600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777372322697,1777372322697,False,5,0.944,0.8688,04-28,
507245,SZ399989,中证医疗,3,29.8826,3.2907,0.1768,0.048,0.1101,0.015,1777305600000,low,0,,0.05,1452614400000,1777390323563,1777390323563,False,5,0.952,0.8232,04-28,1.7076
507251,HKHSTECH,恒生科技,3,22.1284,2.5557,0.2493,0.3338,0.1155,0.0117,1777305600000,mid,1,,0.05,1595779200000,1777390324239,1777390324239,False,5,0.6662,0.7507,04-28,
507222,SH000989,全指可选,3,22.6746,2.2964,0.3264,0.2768,0.1013,0.0263,1777305600000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390321427,1777390321427,False,5,0.7232,0.6736,04-28,1.8611
507223,SH000991,全指医药,3,33.7216,3.0079,0.4264,0.0604,0.0892,0.0163,1777305600000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390321505,1777390321505,False,5,0.9396,0.5736,04-28,2.1091
507237,SH000978,医药100,3,34.1715,3.0691,0.4856,0.0664,0.0898,0.016,1777305600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390322802,1777390322802,False,5,0.9336,0.5144,04-28,2.1934
507217,SZ399986,中证银行,3,7.0316,0.6751,0.8496,0.3924,0.096,0.0416,1777305600000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777390320934,1777390320934,True,5,0.6076,0.1504,04-28,4.2575
507153,SPACEVCP,标普价值,2,7.4837,0.8244,0.75,0.7224,0.1102,0.0415,1777305600000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777372320142,1777372320142,False,5,0.2776,0.25,04-28,1.7364
507240,CSI931157,红利成长LV,2,8.3857,0.9128,0.7365,0.7259,0.1089,0.0471,1777305600000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1777390323118,1777390323118,False,5,0.2741,0.2635,04-28,1.0264
