id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
507259,HSFML25,香港大盘,1,10.2569,1.043,0.7884,0.58,0.1017,0.0286,1777305600000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777426320878,1777426320878,False,5,0.42,0.2116,04-28,1.1673
507344,SZ399550,央视50,2,10.283,1.0206,0.8464,0.2144,0.0993,0.0401,1777392000000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777476721738,1777476721738,False,5,0.7856,0.1536,04-29,2.3795
507343,SH000925,基本面50,2,10.3715,1.021,0.8784,0.4084,0.0984,0.0374,1777392000000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721664,1777476721664,False,5,0.5916,0.1216,04-29,2.4283
507330,SH000170,50AH优选,1,10.4214,1.2097,0.7624,0.7784,0.1161,0.0302,1777392000000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720475,1777476720475,False,5,0.2216,0.2376,04-29,2.3445
507257,HKHSCEI,国企指数,1,10.5477,1.036,0.8632,0.7024,0.0982,0.028,1777305600000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777426320691,1777426320691,False,5,0.2976,0.1368,04-28,1.8322
507327,SH000016,上证50,1,11.6038,1.2339,0.8248,0.5192,0.1063,0.032,1777392000000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720193,1777476720193,False,5,0.4808,0.1752,04-29,1.8628
507353,SH000010,上证180,1,12.3279,1.2415,0.858,0.4512,0.1007,0.029,1777392000000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722526,1777476722526,False,5,0.5488,0.142,04-29,1.7881
507255,HKHSI,恒生指数,1,12.4603,1.2501,0.8356,0.87,0.1003,0.0311,1777305600000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777426320502,1777426320502,False,5,0.13,0.1644,04-28,1.7123
507328,SH000300,沪深300,1,14.7094,1.4803,0.9276,0.5844,0.1006,0.0255,1777392000000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720298,1777476720298,False,5,0.4156,0.0724,04-29,1.5748
507366,CSI716567,MSCI中国,1,15.2592,1.5235,0.8812,0.6546,0.0998,0.0241,1777392000000,high,2,,0.05,1508688000000,1777476723664,1777476723664,False,5,0.3454,0.1188,04-29,1.3628
507271,SPCQVCP,标普质量,2,15.6419,2.777,0.4156,0.3848,0.1775,0.0208,1777392000000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777458720267,1777458720267,False,5,0.6152,0.5844,04-29,1.8252
507346,SZ399324,深证红利,2,16.0388,2.3952,0.6024,0.7064,0.1493,0.0427,1777392000000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721899,1777476721899,False,5,0.2936,0.3976,04-29,1.8802
507324,GDAXI,德国DAX,1,17.3668,1.567,0.4796,0.364,0.0902,0.0011,1777392000000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1452614400000,1777458724716,1777458724716,False,5,0.636,0.5204,04-29,
507358,CSI931142,东证竞争,2,18.4655,3.1253,0.9484,0.9268,0.1693,0.0235,1777392000000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476723021,1777476723021,False,5,0.0732,0.0516,04-29,0.943
507345,SH000903,中证100,1,18.4696,1.8741,0.9996,0.9688,0.1015,0.0258,1777392000000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721818,1777476721818,False,5,0.0312,0.0004,04-29,1.6547
507347,CSI930782,500低波,2,22.0648,1.7632,0.6704,0.7429,0.0799,0.0214,1777392000000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1777476721977,1777476721977,False,5,0.2571,0.3296,04-29,1.3939
507263,SPHCMSHP,香港中小,1,22.7106,1.5048,0.992,0.7707,0.0663,0.0228,1777305600000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1777426321569,1777426321569,False,5,0.2293,0.008,04-28,
507283,SZ399998,中证煤炭,3,22.9557,1.84,0.8748,0.99,0.0802,0.0449,1777392000000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1449417600000,1777458721257,1777458721257,True,5,0.01,0.1252,04-29,
507349,SZ399317,国证A指,1,23.306,1.8811,0.9996,0.6408,0.0807,0.0175,1777392000000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722143,1777476722143,False,5,0.3592,0.0004,04-29,1.612
507267,HKHSSCNE,新经济,2,24.5194,2.8766,0.5291,0.5019,0.1173,0.0112,1777305600000,high,2,,0.05,1542729600000,1777426322206,1777426322206,False,5,0.4981,0.4709,04-28,
507352,SZ399702,基本面120,2,26.3989,2.2306,0.9856,0.5828,0.0845,0.0233,1777392000000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722441,1777476722441,False,5,0.4172,0.0144,04-29,1.2709
507351,SZ399701,基本面60,2,26.7996,2.1361,0.9876,0.4692,0.0797,0.0259,1777392000000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722340,1777476722340,False,5,0.5308,0.0124,04-29,1.5842
507252,SP500,标普500,1,29.4186,5.6256,0.8832,0.9972,0.1912,0.0105,1777305600000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1452528000000,1777426320208,1777426320208,False,5,0.0028,0.1168,04-28,1.9344
507331,SZ399330,深证100,1,30.1245,3.1229,0.9044,0.712,0.1037,0.0184,1777392000000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720570,1777476720570,False,5,0.288,0.0956,04-29,1.4114
507356,SZ399417,新能源车,3,32.6997,4.3299,0.5448,0.7444,0.1324,0.0114,1777392000000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722850,1777476722850,True,5,0.2556,0.4552,04-29,0.7682
507323,935600,MSCI印度,1,35.2359,4.7495,0.78,0.78,0.1348,0.0097,1777392000000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477238400000,1777458724629,1777458724629,False,5,0.22,0.22,04-29,
507354,SZ399001,深证成指,1,35.6161,2.9698,0.9988,0.6352,0.0834,0.0145,1777392000000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476722622,1777476722622,False,5,0.3648,0.0012,04-29,1.244
507254,NDX,纳指100,1,36.9105,10.3176,0.9016,0.9932,0.2795,0.0045,1777305600000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1452528000000,1777426320403,1777426320403,False,5,0.0068,0.0984,04-28,1.8319
507329,SH000905,中证500,1,36.965,2.523,0.8608,0.7996,0.0683,0.0129,1777392000000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720381,1777476720381,False,5,0.2004,0.1392,04-29,1.3716
507336,SH000827,中证环保,3,37.7326,3.0302,0.8648,0.75,0.0803,0.0146,1777392000000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720975,1777476720975,False,5,0.25,0.1352,04-29,0.9565
507363,SZ399971,中证传媒,3,42.9512,2.462,0.6948,0.3852,0.0573,0.0179,1777392000000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476723401,1777476723401,False,5,0.6148,0.3052,04-29,1.2232
507333,SZ399006,创业板,1,44.6576,5.9112,0.5564,0.6964,0.1324,0.0095,1777392000000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720726,1777476720726,False,5,0.3036,0.4436,04-29,1.249
507362,SZ399610,TMT50,3,46.6031,5.9649,0.814,0.9708,0.128,0.007,1777392000000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1488470400000,1777476723326,1777476723326,False,5,0.0292,0.186,04-29,1.048
507360,CSI931087,科技龙头,3,50.479,6.4563,0.7863,0.8182,0.1279,0.0053,1777392000000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1777476723171,1777476723171,False,5,0.1818,0.2137,04-29,1.0762
507369,CSI931079,5G通讯,3,52.4229,7.3471,0.9841,0.9947,0.1402,0.0058,1777392000000,high,2,,0.05,1556553600000,1777476723904,1777476723904,False,5,0.0053,0.0159,04-29,0.9755
507332,SH000852,中证1000,1,52.89,2.7094,0.8468,0.6768,0.0512,0.0098,1777392000000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476720652,1777476720652,False,5,0.3232,0.1532,04-29,1.6605
507367,CSI930652,中证电子,3,57.5145,5.9635,0.906,0.9908,0.1037,0.0062,1777392000000,high,2,,0.05,1452614400000,1777476723749,1777476723749,False,5,0.0092,0.094,04-29,1.2584
507342,SH000993,全指信息,3,64.0406,5.8828,0.732,0.9848,0.0919,0.006,1777392000000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721569,1777476721569,False,5,0.0152,0.268,04-29,1.3114
507337,SZ399967,中证军工,3,88.3007,3.9237,0.7168,0.8044,0.0444,0.0042,1777392000000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1777476721066,1777476721066,True,5,0.1956,0.2832,04-29,1.6389
507370,SH000688,科创50,1,146.3234,6.6474,0.8885,0.775,0.0454,0.0031,1777392000000,high,2,,0.05,1577721600000,1777476723959,1777476723959,False,5,0.225,0.1115,04-29,2.7587
