id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
507619,HSFML25,香港大盘,1,10.1522,1.0199,0.7516,0.5012,0.1005,0.0266,1777996800000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778117520609,1778117520609,1.1554,False,5,0.4988,0.2484,05-06
507699,SH000925,基本面50,2,10.2851,0.9872,0.8608,0.3588,0.096,0.0378,1778083200000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921931,1778167921931,1.1916,False,5,0.6412,0.1392,05-07
507683,SH000170,50AH优选,1,10.4536,1.2,0.7716,0.7576,0.1148,0.0308,1778083200000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920498,1778167920498,1.8514,False,5,0.2424,0.2284,05-07
507618,HKHSCEI,国企指数,1,10.4789,1.0192,0.8508,0.6652,0.0973,0.0262,1777996800000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778117520505,1778117520505,1.8202,False,5,0.3348,0.1492,05-06
507680,SH000016,上证50,1,11.6195,1.2207,0.828,0.4456,0.1051,0.0315,1778083200000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920212,1778167920212,1.6302,False,5,0.5544,0.172,05-07
507708,SH000010,上证180,1,12.2934,1.2237,0.85,0.4024,0.0995,0.0286,1778083200000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922784,1778167922784,1.2721,False,5,0.5976,0.15,05-07
507617,HKHSI,恒生指数,1,12.5556,1.2497,0.8488,0.8684,0.0995,0.0294,1777996800000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778117520408,1778117520408,1.7254,False,5,0.1316,0.1512,05-06
507681,SH000300,沪深300,1,14.7677,1.4669,0.9312,0.534,0.0993,0.0251,1778083200000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920318,1778167920318,0.9892,False,5,0.466,0.0688,05-07
507717,CSI716567,MSCI中国,1,15.4356,1.5199,0.8837,0.6488,0.0985,0.0236,1778083200000,high,2,,0.05,1508688000000,1778167923647,1778167923647,0.897,False,5,0.3512,0.1163,05-07
507625,SPCQVCP,标普质量,2,15.6419,2.777,0.4148,0.3848,0.1775,0.0208,1778083200000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778149920267,1778149920267,1.8252,False,5,0.6152,0.5852,05-07
507701,SZ399324,深证红利,2,16.9381,2.3716,0.752,0.6756,0.14,0.0421,1778083200000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922123,1778167922123,0.7464,False,5,0.3244,0.248,05-07
507678,GDAXI,德国DAX,1,17.9557,1.6146,0.5208,0.4236,0.0899,0.0011,1778083200000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1453046400000,1778149924901,1778149924901,,False,5,0.5764,0.4792,05-07
507713,CSI931142,东证竞争,2,18.5634,3.1094,0.9492,0.9252,0.1675,0.0232,1778083200000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167923216,1778167923216,0.8427,False,5,0.0748,0.0508,05-07
507647,SH000903,中证100,1,18.6116,1.8732,0.9992,0.9676,0.1006,0.0256,1778083200000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778149922233,1778149922233,0.9281,False,5,0.0324,0.0008,05-07
507691,SZ399998,中证煤炭,3,21.8436,1.7449,0.874,0.9544,0.0799,0.0473,1778083200000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1778167921263,1778167921263,0.9036,True,5,0.0456,0.126,05-07
507702,CSI930782,500低波,2,21.8727,1.7671,0.6499,0.7452,0.0808,0.0213,1778083200000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778167922211,1778167922211,0.8749,False,5,0.2548,0.3501,05-07
507621,SPHCMSHP,香港中小,1,22.5261,1.5214,0.9916,0.7844,0.0675,0.0218,1777996800000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778117521211,1778117521211,,False,5,0.2156,0.0084,05-06
507721,HKHSTECH,恒生科技,3,23.1,2.666,0.3386,0.4079,0.1154,0.0111,1778083200000,high,2,,0.05,1595779200000,1778167924060,1778167924060,,False,5,0.5921,0.6614,05-07
507703,SZ399317,国证A指,1,23.7257,1.9086,0.9996,0.7076,0.0804,0.0169,1778083200000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922304,1778167922304,0.9972,False,5,0.2924,0.0004,05-07
507623,HKHSSCNE,新经济,2,24.8811,2.916,0.5653,0.526,0.1172,0.011,1777996800000,high,2,,0.05,1542729600000,1778117521769,1778117521769,,False,5,0.474,0.4347,05-06
507707,SZ399702,基本面120,2,27.254,2.2302,0.9952,0.582,0.0818,0.0229,1778083200000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922689,1778167922689,0.4774,False,5,0.418,0.0048,05-07
507706,SZ399701,基本面60,2,28.1127,2.1256,0.9976,0.4476,0.0756,0.0256,1778083200000,high,2,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922557,1778167922557,0.4697,False,5,0.5524,0.0024,05-07
507615,SP500,标普500,1,29.086,5.7139,0.8604,0.9996,0.1964,0.0102,1777996800000,high,2,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1778117520208,1778117520208,1.9125,False,5,0.0004,0.1396,05-06
507684,SZ399330,深证100,1,31.4102,3.1508,0.9664,0.7272,0.1003,0.0178,1778083200000,high,2,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920643,1778167920643,0.5903,False,5,0.2728,0.0336,05-07
507711,SZ399417,新能源车,3,32.7265,4.2773,0.5464,0.7284,0.1307,0.0113,1778083200000,high,2,https://danjuanfunds.com/funding/160225?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167923049,1778167923049,0.6423,True,5,0.2716,0.4536,05-07
507677,935600,MSCI印度,1,35.7041,4.8126,0.7884,0.7884,0.1348,0.0096,1778083200000,high,2,https://danjuanfunds.com/funding/164824?channel=1800100001&source=guzhi__web_20171001,0.05,1477497600000,1778149924809,1778149924809,,False,5,0.2116,0.2116,05-07
507616,NDX,纳指100,1,35.9637,10.319,0.8264,0.9932,0.2869,0.0042,1777996800000,high,2,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1452787200000,1778117520313,1778117520313,1.7849,False,5,0.0068,0.1736,05-06
507709,SZ399001,深证成指,1,37.0441,3.0406,0.9996,0.6828,0.0821,0.014,1778083200000,high,2,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167922881,1778167922881,0.5882,False,5,0.3172,0.0004,05-07
507682,SH000905,中证500,1,37.8749,2.6161,0.8728,0.8284,0.0691,0.0125,1778083200000,high,2,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920404,1778167920404,0.827,False,5,0.1716,0.1272,05-07
507689,SH000827,中证环保,3,38.7339,3.0525,0.904,0.758,0.0788,0.0143,1778083200000,high,2,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921085,1778167921085,0.6163,False,5,0.242,0.096,05-07
507666,SZ399971,中证传媒,3,44.8896,2.5441,0.7304,0.4572,0.0567,0.0173,1778083200000,high,2,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778149923915,1778149923915,1.0789,False,5,0.5428,0.2696,05-07
507686,SZ399006,创业板,1,46.3751,6.025,0.5816,0.7144,0.1299,0.0091,1778083200000,high,2,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920802,1778167920802,0.7152,False,5,0.2856,0.4184,05-07
507715,SZ399610,TMT50,3,48.8231,6.2466,0.9016,0.9904,0.1279,0.0066,1778083200000,high,2,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1488729600000,1778167923421,1778167923421,0.6725,False,5,0.0096,0.0984,05-07
507663,CSI931087,科技龙头,3,52.966,6.8648,0.8497,0.915,0.1296,0.0049,1778083200000,high,2,https://danjuanfunds.com/funding/007873?channel=1800100001&source=guzhi__web_20171001,0.05,1553011200000,1778149923671,1778149923671,0.9673,False,5,0.085,0.1503,05-07
507673,CSI931079,5G通讯,3,54.4581,7.6749,0.9912,0.9982,0.1409,0.0057,1778083200000,high,2,,0.05,1556553600000,1778149924525,1778149924525,0.5902,False,5,0.0018,0.0088,05-07
507685,SH000852,中证1000,1,56.5864,2.8233,0.8696,0.724,0.0499,0.0093,1778083200000,high,2,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167920720,1778167920720,0.9288,False,5,0.276,0.1304,05-07
507718,CSI930652,中证电子,3,63.6705,6.4323,0.9792,0.9996,0.101,0.0056,1778083200000,high,2,,0.05,1453046400000,1778167923720,1778167923720,0.9175,False,5,0.0004,0.0208,05-07
507698,SH000993,全指信息,3,70.4794,6.3602,0.858,0.9996,0.0902,0.0054,1778083200000,high,2,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921851,1778167921851,0.9576,False,5,0.0004,0.142,05-07
507692,SZ399967,中证军工,3,82.6603,4.0545,0.7168,0.882,0.0491,0.0041,1778083200000,high,2,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778167921345,1778167921345,1.1089,True,5,0.118,0.2832,05-07
507719,SH000688,科创50,1,160.5368,7.4831,0.9251,0.9056,0.0466,0.0028,1778083200000,high,2,,0.05,1577721600000,1778167923848,1778167923848,0.8344,False,5,0.0944,0.0749,05-07
