id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
506852,SZ399393,国证地产,3,0.0,0.8504,0.0,0.1952,0.0,0.0118,1776873600000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776940323805,1776940323805,True,5,04-23,0.8048,1.0,
506878,SZ399812,养老产业,3,11.9367,1.8423,0.0044,0.0564,0.1543,0.0242,1776873600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958321295,1776958321295,False,5,04-23,0.9436,0.9956,0.9467
506876,SZ399975,证券公司,3,14.9625,1.2825,0.0612,0.1616,0.0857,0.0177,1776873600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958321113,1776958321113,True,5,04-23,0.8384,0.9388,0.5345
506896,CSIH30533,中概互联50,3,17.3499,2.3637,0.0596,0.0788,0.1362,0.0103,1776873600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958323011,1776958323011,False,5,04-23,0.9212,0.9404,
506801,CSIH11136,中国互联,3,17.6538,2.3767,0.1032,0.0812,0.1346,0.0109,1776787200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1452096000000,1776907921102,1776907921102,False,5,04-22,0.9188,0.8968,
506821,SZ399997,中证白酒,3,18.7851,4.5514,0.0812,0.0796,0.2423,0.0401,1776873600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776940321179,1776940321179,False,5,04-23,0.9204,0.9188,
506860,CSIH30094,消费红利,2,18.941,3.965,0.0624,0.0956,0.2093,0.0408,1776873600000,low,0,,0.05,1452096000000,1776940324393,1776940324393,False,5,04-23,0.9044,0.9376,
506877,SZ399396,国证食品,3,20.895,3.9672,0.0876,0.0392,0.1899,0.037,1776873600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958321202,1776958321202,False,5,04-23,0.9608,0.9124,23.9078
506888,SH000932,主要消费,3,20.9154,3.7749,0.128,0.0784,0.1805,0.0364,1776873600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958322290,1776958322290,False,5,04-23,0.9216,0.872,
506904,SZ399989,中证医疗,3,29.4251,3.2713,0.1512,0.0416,0.1112,0.0152,1776873600000,low,0,,0.05,1452182400000,1776958323694,1776958323694,False,5,04-23,0.9584,0.8488,1.7052
506880,SH000991,全指医药,3,30.9786,3.0148,0.2944,0.062,0.0973,0.0163,1776873600000,low,0,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958321464,1776958321464,False,5,04-23,0.938,0.7056,1.8689
506910,HKHSTECH,恒生科技,3,22.4032,2.6201,0.2721,0.3862,0.117,0.0114,1776873600000,mid,1,,0.05,1595779200000,1776958324139,1776958324139,False,5,04-23,0.6138,0.7279,
506894,SH000978,医药100,3,31.2265,3.0701,0.326,0.066,0.0983,0.016,1776873600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1452182400000,1776958322865,1776958322865,False,5,04-23,0.934,0.674,1.9506
