id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
506399,SZ399393,国证地产,3,0.0,0.8494,0.0,0.1932,0.0,0.0119,1776355200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421923773,1776421923773,True,5,0.8068,1.0,04-17,
506373,SZ399812,养老产业,3,12.0377,1.8584,0.0072,0.0624,0.1544,0.024,1776355200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921592,1776421921592,False,5,0.9376,0.9928,04-17,0.921
506371,SZ399975,证券公司,3,15.0245,1.3002,0.0644,0.1872,0.0865,0.017,1776355200000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921442,1776421921442,True,5,0.8128,0.9356,04-17,0.5281
506392,CSIH30533,中概互联50,3,18.0235,2.4494,0.0932,0.1188,0.1359,0.01,1776355200000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421923146,1776421923146,False,5,0.8812,0.9068,04-17,
506348,CSIH11136,中国互联,3,18.2732,2.4602,0.1212,0.1224,0.1346,0.0106,1776268800000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776389521194,1776389521194,False,5,0.8776,0.8788,04-16,
506368,SZ399997,中证白酒,3,18.4832,4.5288,0.0556,0.0776,0.245,0.0404,1776355200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921143,1776421921143,False,5,0.9224,0.9444,04-17,
506407,CSIH30094,消费红利,2,18.5468,3.949,0.0328,0.094,0.2129,0.0411,1776355200000,low,0,,0.05,1451491200000,1776421924393,1776421924393,False,5,0.906,0.9672,04-17,44.8683
506384,SH000932,主要消费,3,19.9003,3.7717,0.0792,0.0772,0.1895,0.0366,1776355200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421922473,1776421922473,False,5,0.9228,0.9208,04-17,10.6207
506372,SZ399396,国证食品,3,20.606,3.9469,0.0628,0.0364,0.1915,0.0375,1776355200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921519,1776421921519,False,5,0.9636,0.9372,04-17,9.6601
506401,SZ399989,中证医疗,3,28.8429,3.245,0.12,0.0352,0.1125,0.0155,1776355200000,low,0,,0.05,1451836800000,1776421923946,1776421923946,False,5,0.9648,0.88,04-17,1.6013
506375,SH000991,全指医药,3,31.1911,3.0673,0.302,0.0856,0.0983,0.0163,1776355200000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921746,1776421921746,False,5,0.9144,0.698,04-17,1.8101
506390,SH000978,医药100,3,31.4535,3.1248,0.3356,0.088,0.0993,0.0159,1776355200000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421922979,1776421922979,False,5,0.912,0.6644,04-17,1.8848
506366,SZ399986,中证银行,3,6.939,0.6697,0.8368,0.3732,0.0965,0.045,1776355200000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421920978,1776421920978,True,5,0.6268,0.1632,04-17,4.0781
506356,SPACEVCP,标普价值,2,7.4746,0.8235,0.7508,0.7196,0.1102,0.0416,1776355200000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1451923200000,1776421920066,1776421920066,False,5,0.2804,0.2492,04-17,1.7342
506394,CSI931157,红利成长LV,2,8.1378,0.8969,0.6887,0.6828,0.1102,0.048,1776355200000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1776421923393,1776421923393,False,5,0.3172,0.3113,04-17,1.0057
506382,CSIH30269,红利低波,2,8.4035,0.8641,0.7792,0.58,0.1028,0.0447,1776355200000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421922319,1776421922319,False,5,0.42,0.2208,04-17,3.2981
506365,SH000922,中证红利,2,8.6124,0.8517,0.8068,0.476,0.0989,0.0469,1776355200000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421920899,1776421920899,False,5,0.524,0.1932,04-17,5.0711
506404,SH000015,上证红利,2,8.7976,0.852,0.9624,0.5908,0.0968,0.0447,1776355200000,high,2,,0.05,1451404800000,1776421924210,1776421924210,False,5,0.4092,0.0376,04-17,8.2507
506385,SH000919,300价值,2,9.1535,0.9237,0.7672,0.4392,0.1009,0.041,1776355200000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421922549,1776421922549,False,5,0.5608,0.2328,04-17,2.2496
506400,CSI930740,300红利LV,2,9.1718,0.9322,0.8476,0.5456,0.1016,0.0446,1776355200000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1450800000000,1776421923866,1776421923866,False,5,0.4544,0.1524,04-17,4.6296
506396,CSPSADRP,标普红利,2,9.3748,0.9985,0.9696,0.6724,0.1065,0.049,1776355200000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776421923531,1776421923531,False,5,0.3276,0.0304,04-17,3.9554
506378,SZ399550,央视50,2,10.082,1.0147,0.7868,0.1924,0.1006,0.0425,1776355200000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776421921975,1776421921975,False,5,0.8076,0.2132,04-17,2.2801
506361,SH000170,50AH优选,1,10.1295,1.1852,0.6768,0.7244,0.117,0.0321,1776355200000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421920541,1776421920541,False,5,0.2756,0.3232,04-17,1.9137
506377,SH000925,基本面50,2,10.1603,1.0172,0.8212,0.3992,0.1001,0.0388,1776355200000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421921899,1776421921899,False,5,0.6008,0.1788,04-17,2.2227
506347,HSFML25,香港大盘,1,10.4483,1.0672,0.838,0.65,0.1021,0.0284,1776268800000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776389520843,1776389520843,False,5,0.35,0.162,04-16,1.1891
506345,HKHSCEI,国企指数,1,10.8038,1.0649,0.896,0.7552,0.0986,0.0277,1776268800000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776389520659,1776389520659,False,5,0.2448,0.104,04-16,1.8766
506358,SH000016,上证50,1,11.4406,1.2262,0.7816,0.4796,0.1072,0.0339,1776355200000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421920260,1776421920260,False,5,0.5204,0.2184,04-17,1.8077
506388,SH000010,上证180,1,12.1323,1.2302,0.8168,0.4152,0.1014,0.0303,1776355200000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421922813,1776421922813,False,5,0.5848,0.1832,04-17,1.7128
506343,HKHSI,恒生指数,1,12.8948,1.302,0.8912,0.9432,0.101,0.0306,1776268800000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1451491200000,1776389520473,1776389520473,False,5,0.0568,0.1088,04-16,1.772
506359,SH000300,沪深300,1,14.4034,1.4689,0.8936,0.542,0.102,0.0262,1776355200000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1451836800000,1776421920362,1776421920362,False,5,0.458,0.1064,04-17,1.5026
506402,CSI716567,MSCI中国,1,15.0095,1.5139,0.8661,0.6426,0.1009,0.0248,1776355200000,high,2,,0.05,1508688000000,1776421924044,1776421924044,False,5,0.3574,0.1339,04-17,1.319
