id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
508444,CSPSADRP,标普红利,2,9.5949,0.9826,0.9884,0.6628,0.1024,0.045,1779033600000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1779100323767,1779100323767,False,5,05-18,0.3372,0.0116,1.8693
508396,HSFML25,香港大盘,1,9.8872,1.0025,0.6752,0.4504,0.1014,0.0297,1778774400000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120600,1778895120600,False,5,05-15,0.5496,0.3248,1.1252
508474,SZ399550,央视50,2,9.9959,0.9879,0.7568,0.1256,0.0988,0.044,1779033600000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1779118321603,1779118321603,False,5,05-18,0.8744,0.2432,1.3538
508473,SH000925,基本面50,2,10.0887,0.9719,0.796,0.3356,0.0963,0.0419,1779033600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779118321515,1779118321515,False,5,05-18,0.6644,0.204,1.1673
508462,SH000170,50AH优选,1,10.2201,1.1734,0.692,0.6904,0.1148,0.0309,1779033600000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779118320497,1779118320497,False,5,05-18,0.3096,0.308,1.8164
508395,HKHSCEI,国企指数,1,10.2484,1.0034,0.8112,0.6208,0.0979,0.0288,1778774400000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120528,1778895120528,False,5,05-15,0.3792,0.1888,1.7802
508459,SH000016,上证50,1,11.3274,1.1955,0.7536,0.3224,0.1055,0.0359,1779033600000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779118320193,1779118320193,False,5,05-18,0.6776,0.2464,1.564
508436,SH000010,上证180,1,12.1019,1.2081,0.8032,0.3696,0.0998,0.0313,1779033600000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323118,1779100323118,False,5,05-18,0.6304,0.1968,1.2517
508394,HKHSI,恒生指数,1,12.3053,1.2328,0.8072,0.8232,0.1002,0.0315,1778774400000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453824000000,1778895120454,1778895120454,False,5,05-15,0.1768,0.1928,1.691
508460,SH000300,沪深300,1,14.5538,1.4493,0.91,0.4744,0.0996,0.0268,1779033600000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779118320304,1779118320304,False,5,05-18,0.5256,0.09,0.9774
508491,CSI716567,MSCI中国,1,15.1795,1.4989,0.874,0.6063,0.0987,0.0253,1779033600000,high,2,,0.05,1508688000000,1779118323206,1779118323206,False,5,05-18,0.3937,0.126,0.8828
508405,SPCQVCP,标普质量,2,15.6419,2.777,0.4124,0.3848,0.1775,0.0208,1779033600000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100320269,1779100320269,False,5,05-18,0.6152,0.5876,1.8252
508428,SZ399324,深证红利,2,16.1039,2.2581,0.6136,0.5668,0.1402,0.0425,1779033600000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100322317,1779100322317,False,5,05-18,0.4332,0.3864,0.7292
508475,SH000903,中证100,1,18.2701,1.8452,0.9956,0.9484,0.101,0.0274,1779033600000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779118321685,1779118321685,False,5,05-18,0.0516,0.0044,0.9185
508441,CSI931142,东证竞争,2,20.1586,2.9758,0.9488,0.904,0.1476,0.0232,1779033600000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453910400000,1779100323557,1779100323557,False,5,05-18,0.096,0.0512,0.6733
508476,CSI930782,500低波,2,21.431,1.7354,0.6072,0.7307,0.081,0.0226,1779033600000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1779118321782,1779118321782,False,5,05-18,0.2693,0.3928,0.8428
