id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
515550,SZ399393,国证地产,3,0.0,0.7771,0.0,0.1252,0.0,0.0107,1787760000000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787826723517,1787826723517,True,5,0.8748,1.0,08-27,
515576,SZ399812,养老产业,3,10.6255,1.7597,0.0024,0.0404,0.1656,0.0256,1787760000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844721291,1787844721291,False,5,0.9596,0.9976,08-27,1.2199
515574,SZ399975,证券公司,3,13.4237,1.2971,0.0136,0.2028,0.0966,0.0197,1787760000000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844721137,1787844721137,True,5,0.7972,0.9864,08-27,0.8754
515595,CSIH30533,中概互联50,3,17.4805,2.093,0.096,0.0144,0.1197,0.0109,1787760000000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844722790,1787844722790,False,5,0.9856,0.904,08-27,
515609,CSIH30094,消费红利,2,19.3005,3.5301,0.1144,0.0232,0.1829,0.0423,1787760000000,low,0,,0.05,1463414400000,1787844723826,1787844723826,False,5,0.9768,0.8856,08-27,2.2742
515571,SZ399997,中证白酒,3,19.8878,4.0513,0.1604,0.026,0.2037,0.0428,1787760000000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844720910,1787844720910,False,5,0.974,0.8396,08-27,2.477
515575,SZ399396,国证食品,3,20.9787,3.5808,0.1176,0.018,0.1707,0.0379,1787760000000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844721218,1787844721218,False,5,0.982,0.8824,08-27,2.0651
515496,CSIH11136,中国互联,3,21.1545,2.299,0.28,0.0772,0.1087,0.0109,1787673600000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1463414400000,1787794321027,1787794321027,False,5,0.9228,0.72,08-26,
515577,SH000989,全指可选,3,21.9082,2.1276,0.284,0.204,0.0971,0.0285,1787760000000,low,0,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844721368,1787844721368,False,5,0.796,0.716,08-27,0.8204
515587,SH000932,主要消费,3,22.8736,3.4532,0.204,0.0208,0.151,0.0386,1787760000000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844722198,1787844722198,False,5,0.9792,0.796,08-27,1.7043
515603,SZ399989,中证医疗,3,30.0806,3.5408,0.2152,0.1476,0.1177,0.0134,1787760000000,low,0,,0.05,1463500800000,1787844723380,1787844723380,False,5,0.8524,0.7848,08-27,1.1564
515610,HKHSTECH,恒生科技,3,24.7138,2.4939,0.4652,0.2806,0.1009,0.0103,1787760000000,mid,1,,0.05,1595779200000,1787844723897,1787844723897,False,5,0.7194,0.5348,08-27,
515578,SH000991,全指医药,3,31.4262,3.0608,0.3256,0.1092,0.0974,0.0173,1787760000000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844721438,1787844721438,False,5,0.8908,0.6744,08-27,1.041
515601,SZ399971,中证传媒,3,31.7846,2.1718,0.3276,0.2264,0.0683,0.0192,1787760000000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844723227,1787844723227,False,5,0.7736,0.6724,08-27,0.7529
515593,SH000978,医药100,3,31.8364,3.1446,0.3784,0.1276,0.0988,0.0171,1787760000000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844722646,1787844722646,False,5,0.8724,0.6216,08-27,1.0387
515507,SPACEVCP,标普价值,2,7.0865,0.7806,0.6652,0.6568,0.1101,0.0438,1787760000000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1463587200000,1787826720091,1787826720091,False,5,0.3432,0.3348,08-27,1.6442
515570,SZ399986,中证银行,3,7.1037,0.6807,0.8612,0.4348,0.0958,0.0424,1787760000000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844720813,1787844720813,True,5,0.5652,0.1388,08-27,2.1466
515597,CSI931157,红利成长LV,2,7.9462,0.8639,0.6186,0.5407,0.1087,0.0501,1787760000000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1787844722933,1787844722933,False,5,0.4593,0.3814,08-27,1.2159
515585,CSIH30269,红利低波,2,8.4137,0.8659,0.7728,0.6124,0.1029,0.0443,1787760000000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844722053,1787844722053,False,5,0.3876,0.2272,08-27,1.8779
515569,SH000922,中证红利,2,8.604,0.8487,0.7964,0.4992,0.0986,0.0431,1787760000000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1463500800000,1787844720742,1787844720742,False,5,0.5008,0.2036,08-27,1.4226
