id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
508028,SZ399550,央视50,2,10.1524,0.9996,0.8064,0.152,0.0985,0.0397,1778515200000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778599921691,1778599921691,1.357,False,5,05-12,0.848,0.1936
508027,SH000925,基本面50,2,10.2404,0.983,0.8452,0.3528,0.096,0.038,1778515200000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921616,1778599921616,1.1713,False,5,05-12,0.6472,0.1548
507949,HKHSCEI,国企指数,1,10.4931,1.0205,0.8508,0.6688,0.0973,0.026,1778428800000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778549520529,1778549520529,1.8227,False,5,05-11,0.3312,0.1492
508014,SH000170,50AH优选,1,10.5187,1.2079,0.786,0.7752,0.1148,0.0307,1778515200000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599920440,1778599920440,1.8641,False,5,05-12,0.2248,0.214
508011,SH000016,上证50,1,11.6365,1.2225,0.8324,0.4532,0.1051,0.0314,1778515200000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599920199,1778599920199,1.5989,False,5,05-12,0.5468,0.1676
508038,SH000010,上证180,1,12.3236,1.2267,0.8548,0.4092,0.0995,0.0284,1778515200000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599922520,1778599922520,1.2723,False,5,05-12,0.5908,0.1452
507948,HKHSI,恒生指数,1,12.5642,1.2506,0.8496,0.8704,0.0995,0.0287,1778428800000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778549520422,1778549520422,1.7266,False,5,05-11,0.1296,0.1504
508012,SH000300,沪深300,1,14.8265,1.4729,0.9356,0.5564,0.0993,0.0249,1778515200000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599920292,1778599920292,0.9929,False,5,05-12,0.4436,0.0644
508050,CSI716567,MSCI中国,1,15.5191,1.5283,0.8863,0.6643,0.0985,0.0234,1778515200000,high,2,,0.05,1508688000000,1778599923619,1778599923619,0.9016,False,5,05-12,0.3357,0.1137
507956,SPCQVCP,标普质量,2,15.6419,2.777,0.414,0.3848,0.1775,0.0208,1778515200000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778581920258,1778581920258,1.8252,False,5,05-12,0.6152,0.586
508030,SZ399324,深证红利,2,16.7291,2.3443,0.726,0.6408,0.1401,0.0423,1778515200000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921849,1778599921849,0.7536,False,5,05-12,0.3592,0.274
508009,GDAXI,德国DAX,1,17.5384,1.565,0.4908,0.3596,0.0892,0.0011,1778515200000,high,2,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1453305600000,1778581924771,1778581924771,,False,5,05-12,0.6404,0.5092
508029,SH000903,中证100,1,18.7077,1.8833,0.9992,0.9724,0.1007,0.0255,1778515200000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599921772,1778599921772,0.9356,False,5,05-12,0.0276,0.0008
508043,CSI931142,东证竞争,2,20.6407,3.0424,0.9512,0.9132,0.1474,0.0225,1778515200000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778599923009,1778599923009,0.6866,False,5,05-12,0.0868,0.0488
507968,SZ399998,中证煤炭,3,21.5098,1.7182,0.8716,0.9364,0.0799,0.048,1778515200000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1778581921324,1778581921324,0.8831,True,5,05-12,0.0636,0.1284
508031,CSI930782,500低波,2,22.1264,1.7895,0.6744,0.7515,0.0809,0.0214,1778515200000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778599921926,1778599921926,0.8783,False,5,05-12,0.2485,0.3256
